bus_name,gen_name,point,fuel,capacity
ALVIN 0,AMOCO_UNIT1,POINT (-95.18288 29.422491490378206),CC,207.0
ELMENDORF 5,VH_BRAUNIG_TTG_U3,POINT (-98.37746 29.246334901200395),GT,59.0
MCKINNEY 1 6,RAY_OLINGER_STG_U4,POINT (-96.59662600000001 33.1557933842877),ST,130.0
BASTROP 4,LOST_PINES_POWER_CC2,POINT (-97.2582 30.12925483342302),CC,667.0
NEW BRAUNFELS 1 6,HAYS_ENERGY_FACILITY_GT3,POINT (-98.01776 29.728134437632697),GT,324.0
JACKSONVILLE 1 5,STRYKER_CREEK_ST2,POINT (-94.97723400000001 31.923809986101606),ST,60240.0
LAREDO 1 2,LAREDO_CTG_4,POINT (-99.49630000000002 27.553136129810902),GT,126.0
FAIRFIELD 1 6,FREESTONE_ENERGY_CENTER2_CC1,POINT (-96.1005 31.868536934357316),CT,21600.0
BASTROP 5,SAM_GIDEON_STG_U1,POINT (-97.2582 30.126141161460993),ST,150.0
NEW BRAUNFELS 1 7,HAYS_ENERGY_FACILITY_GT4,POINT (-98.01776 29.726883950947098),GT,319.0
ALVIN 0,AMOCO_UNIT4,POINT (-95.18288 29.422491490378206),CC,135.0
NURSERY 6,SAM_RAYBURN_CC3,POINT (-97.1224 28.86554144979861),CC,210.0
LA GRANGE 3,FAYETTE_POWER_U1_J1,POINT (-96.738 29.900817133061903),ST,378.0
ALVIN 0,AMOCO_UNIT5,POINT (-95.18288 29.422491490378206),CC,135.0
AUSTIN 2 3,SANDHILL_ENERGY_CENTER_CC1,POINT (-97.60786 30.204511022719487),CT,199.0
ODESSA 1 6,QUAIL_RUN_ENERGY2_CC1,POINT (-102.31380000000001 31.79364946639161),CT,156.0
SANTA ROSA 1 8,CAPITOL_GEN_CC2,POINT (-97.86341200000001 26.230130881585993),CT,113.0
WHARTON 1 7,COLORADO_BEND_ENERGY_CENTER_3_CC2,POINT (-96.0557 29.2618931646043),CC,1433.0
FREEPORT 2 0,DOWGEN_UNIT6,POINT (-95.396681 28.98499101570269),GT,121.0
PEARSALL 5,PEARSALL_ST5,POINT (-99.07930000000002 28.901502337509),ST,40.0
PARIS 1 2,LAMAR_ENERGY_CENTER1_CC1,POINT (-95.57739999999998 33.6150619758586),CT,348.0
HOUSTON 6 0,GREENS_BAYOU_GT1,POINT (-95.215109 29.819702359047994),GT,79.0
BAYTOWN 2 5,BAYTOWN_ENERGY2_CC1,POINT (-94.89686 29.765287707192716),CC,240.0
SNYDER 2 0,SNYDER_CREEK_CTG_1,POINT (-100.93666100000002 32.7410021133028),GT,115.0
PASADENA 2 7,CHANNEL_ENERGY_CENTER2_CC4,POINT (-95.171439 29.713182013458706),CC,866.0
DEER PARK 11,DEER_PARK_ENERGY_CENTER_CC6,POINT (-95.12381600000002 29.70786470888249),CC,1339.0
GRANBURY 1 2,WOLF_HOLLOW_1_CC1,POINT (-97.719086 32.3273757066874),CT,480.0
JEWETT 1 4,LIMESTONE_U2,POINT (-96.2399 31.40577026825629),ST,102960.0
BRIDGEPORT 5,JACK_COUNTY_GEN_FACILITY_1_CC3,POINT (-97.90820000000001 33.17455683021782),CC,780.0
MARION 1 6,GUADALUPE_ENERGY_CENTER2_CC1,POINT (-98.13686 29.6140723709441),CC,450.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT4,POINT (-97.04938 32.42776911654429),GT,318.0
MIDLOTHIAN 1 0,MIDLOTHIAN_ENERGY_FACILITY_GT3,POINT (-97.04938 32.42776911654429),GT,318.0
DENTON 1 3,SPENCER_STG_U5,POINT (-97.10106 33.1887634953812),ST,73.0
SEGUIN 1 5,RIO_NOGALES_POWER_CC3,POINT (-97.968175 29.583977439612106),CC,636.0
THOMPSONS 14,BRAZOS_VALLEY_CC3,POINT (-95.62606 29.463681940827307),CC,450.0
